path,category,status,note,size
res://assets/account/ACC001_profile_panel_placeholder.png,social,SUPERSEDED,V4 UI / atlas semantic binding now covers this presentation family,860x700
res://assets/account/ACC002_profile_icon_placeholder.png,social,SUPERSEDED,V4 UI / atlas semantic binding now covers this presentation family,280x280
res://assets/account/ACC003_cloud_status_placeholder.png,social,SUPERSEDED,V4 UI / atlas semantic binding now covers this presentation family,760x160
res://assets/account/ACC004_support_card_placeholder.png,social,SUPERSEDED,V4 UI / atlas semantic binding now covers this presentation family,760x180
res://assets/account/ACC005_legal_card_placeholder.png,social,SUPERSEDED,V4 UI / atlas semantic binding now covers this presentation family,760x180
res://assets/account/ACC006_account_action_placeholder.png,social,SUPERSEDED,V4 UI / atlas semantic binding now covers this presentation family,760x150
res://assets/audio/p0/music_greenvale_loop_placeholder.wav,audio,REVIEW,Needs runtime/semantic review before deletion or production,
res://assets/battle/greenvale/lane_map_greenvale_placeholder.png,lane_battle,CONFIRMED_MISSING,Production asset required,1080x1500
res://assets/battle/units/unit_archer_placeholder.png,lane_battle,CONFIRMED_MISSING,Production asset required,256x256
res://assets/battle/units/unit_enemy_melee_placeholder.png,lane_battle,REVIEW,Mode art requires final world/gameplay review,256x256
res://assets/battle/units/unit_knight_placeholder.png,lane_battle,CONFIRMED_MISSING,Production asset required,256x256
res://assets/defense/enemies/td_enemy_runner_placeholder.png,tower_defense,CONFIRMED_MISSING,Production asset required,220x220
res://assets/defense/enemies/td_enemy_tank_placeholder.png,tower_defense,REVIEW,Mode art requires final world/gameplay review,220x220
res://assets/defense/greenvale/td_map_greenvale_placeholder.png,tower_defense,CONFIRMED_MISSING,Production asset required,1080x1500
res://assets/defense/towers/tower_archer_placeholder.png,tower_defense,CONFIRMED_MISSING,Production asset required,320x320
res://assets/defense/towers/tower_mage_placeholder.png,tower_defense,CONFIRMED_MISSING,Production asset required,320x320
res://assets/entry/ENTRY001_splash_bg_placeholder.png,entry,CONFIRMED_MISSING,Production asset required,1080x1920
res://assets/entry/ENTRY002_welcome_bg_placeholder.png,entry,CONFIRMED_MISSING,Production asset required,1080x1920
res://assets/entry/ENTRY003_realm_emblem_placeholder.png,entry,CONFIRMED_MISSING,Production asset required,700x700
res://assets/entry/ENTRY010_auth_panel_placeholder.png,entry,REVIEW,Entry family not fully production-ready,900x980
res://assets/entry/ENTRY011_primary_button_placeholder.png,entry,REVIEW,Entry family not fully production-ready,760x150
res://assets/entry/ENTRY012_secondary_button_placeholder.png,entry,REVIEW,Entry family not fully production-ready,760x130
res://assets/fx/fx_reward_burst_placeholder.png,vfx,REVIEW,FX placeholders require runtime visual review; do not replace blindly,512x512
res://assets/fx/fx_tower_hit_placeholder.png,vfx,REVIEW,FX placeholders require runtime visual review; do not replace blindly,160x160
res://assets/fx/fx_unlock_badge_placeholder.png,vfx,REVIEW,FX placeholders require runtime visual review; do not replace blindly,256x256
res://assets/fx/monster_death_overlay_placeholder.png,vfx,REVIEW,FX placeholders require runtime visual review; do not replace blindly,640x640
res://assets/fx/monster_hit_overlay_placeholder.png,vfx,REVIEW,FX placeholders require runtime visual review; do not replace blindly,640x640
res://assets/fx/projectile_magic_placeholder.png,vfx,REVIEW,FX placeholders require runtime visual review; do not replace blindly,96x96
res://assets/heroes/hero_archer_portrait_placeholder.png,hero,CONFIRMED_MISSING,Production asset required,512x512
res://assets/heroes/hero_knight_portrait_placeholder.png,hero,CONFIRMED_MISSING,Production asset required,512x512
res://assets/heroes/hero_mage_portrait_placeholder.png,hero,CONFIRMED_MISSING,Production asset required,512x512
res://assets/home_polish/HOME001_topbar_frame_placeholder.png,other,REVIEW,Needs runtime/semantic review before deletion or production,960x130
